Tourist_ID,Timestamp,Latitude,Longitude
T0001,2025-09-07 22:24:57.189261,25.573622,91.910202
T0001,2025-09-07 22:29:57.189261,25.565919,91.897536
T0001,2025-09-07 22:34:57.189261,25.608463,91.905432
T0001,2025-09-07 22:39:57.189261,25.607505,91.86003
T0001,2025-09-07 22:44:57.189261,25.56838,91.887302
T0001,2025-09-07 22:49:57.189261,25.553801,91.926525
T0001,2025-09-07 22:54:57.189261,25.538001,91.914909
T0001,2025-09-07 22:59:57.189261,25.609131,91.878361
T0001,2025-09-07 23:04:57.189261,25.582994,91.94003
T0001,2025-09-07 23:09:57.189261,25.619771,91.861502
T0001,2025-09-07 23:14:57.189261,25.52998,91.892417
T0001,2025-09-07 23:19:57.189261,25.544244,91.886637
T0001,2025-09-07 23:24:57.189261,25.576424,91.909448
T0001,2025-09-07 23:29:57.189261,25.606091,91.927624
T0001,2025-09-07 23:34:57.189261,25.53297,91.920007
T0001,2025-09-07 23:39:57.189261,25.556215,91.905404
T0001,2025-09-07 23:44:57.189261,25.534725,91.910697
T0001,2025-09-07 23:49:57.189261,25.625147,91.91279
T0001,2025-09-07 23:54:57.189261,25.625941,91.936832
T0001,2025-09-07 23:59:57.189261,25.546979,91.938846
T0001,2025-09-08 00:04:57.189261,25.553878,91.904081
T0001,2025-09-08 00:09:57.189261,25.551339,91.93063
T0001,2025-09-08 00:14:57.189261,25.531815,91.926788
T0001,2025-09-08 00:19:57.189261,25.537072,91.875672
T0001,2025-09-08 00:24:57.189261,25.589689,91.939385
T0001,2025-09-08 00:29:57.189261,25.55564,91.896052
T0001,2025-09-08 00:34:57.189261,25.625541,91.915299
T0001,2025-09-08 00:39:57.189261,25.616625,91.873718
T0001,2025-09-08 00:44:57.189261,25.62686,91.84775
T0001,2025-09-08 00:49:57.189261,25.53339,91.922391
T0002,2025-09-07 22:24:57.190569,25.621864,91.893231
T0002,2025-09-07 22:29:57.190569,25.617797,91.87388
T0002,2025-09-07 22:34:57.190569,25.529671,91.852606
T0002,2025-09-07 22:39:57.190569,25.611823,91.929958
T0002,2025-09-07 22:44:57.190569,25.563259,91.914241
T0002,2025-09-07 22:49:57.190569,25.627089,91.873874
T0002,2025-09-07 22:54:57.190569,25.575483,91.879744
T0002,2025-09-07 22:59:57.190569,25.541893,91.943157
T0002,2025-09-07 23:04:57.190569,25.548651,91.877616
T0002,2025-09-07 23:09:57.190569,25.62571,91.909046
T0002,2025-09-07 23:14:57.190569,25.563824,91.918366
T0002,2025-09-07 23:19:57.190569,25.620952,91.874035
T0002,2025-09-07 23:24:57.190569,25.613846,91.879598
T0002,2025-09-07 23:29:57.190569,25.586014,91.864849
T0002,2025-09-07 23:34:57.190569,25.566823,91.898825
T0002,2025-09-07 23:39:57.190569,25.585735,91.86795
T0002,2025-09-07 23:44:57.190569,25.531757,91.9132
T0002,2025-09-07 23:49:57.190569,25.579368,91.846077
T0002,2025-09-07 23:54:57.190569,25.58737,91.853109
T0002,2025-09-07 23:59:57.190569,25.586538,91.904069
T0002,2025-09-08 00:04:57.190569,25.572424,91.863681
T0002,2025-09-08 00:09:57.190569,25.586176,91.942139
T0002,2025-09-08 00:14:57.190569,25.594091,91.897641
T0002,2025-09-08 00:19:57.190569,25.561049,91.873889
T0002,2025-09-08 00:24:57.190569,25.543839,91.934019
T0002,2025-09-08 00:29:57.190569,25.607288,91.907654
T0002,2025-09-08 00:34:57.190569,25.627426,91.929249
T0002,2025-09-08 00:39:57.190569,25.563758,91.882551
T0002,2025-09-08 00:44:57.190569,25.556767,91.848673
T0002,2025-09-08 00:49:57.190569,25.540049,91.846535
T0003,2025-09-07 22:24:57.190569,25.580847,91.930044
T0003,2025-09-07 22:29:57.190569,25.559902,91.852384
T0003,2025-09-07 22:34:57.190569,25.538474,91.888502
T0003,2025-09-07 22:39:57.190569,25.58415,91.865967
T0003,2025-09-07 22:44:57.190569,25.600521,91.852045
T0003,2025-09-07 22:49:57.190569,25.617096,91.910195
T0003,2025-09-07 22:54:57.190569,25.602981,91.85738
T0003,2025-09-07 22:59:57.190569,25.531633,91.891877
T0003,2025-09-07 23:04:57.190569,25.553088,91.881539
T0003,2025-09-07 23:09:57.190569,25.541139,91.889985
T0003,2025-09-07 23:14:57.190569,25.600202,91.896805
T0003,2025-09-07 23:19:57.190569,25.613094,91.868187
T0003,2025-09-07 23:24:57.190569,25.534107,91.924764
T0003,2025-09-07 23:29:57.190569,25.564349,91.938118
T0003,2025-09-07 23:34:57.190569,25.606076,91.906068
T0003,2025-09-07 23:39:57.190569,25.529942,91.851364
T0003,2025-09-07 23:44:57.190569,25.531818,91.938267
T0003,2025-09-07 23:49:57.190569,25.529804,91.878007
T0003,2025-09-07 23:54:57.190569,25.621109,91.938576
T0003,2025-09-07 23:59:57.190569,25.622499,91.908372
T0003,2025-09-08 00:04:57.190569,25.592998,91.880203
T0003,2025-09-08 00:09:57.190569,25.58466,91.872317
T0003,2025-09-08 00:14:57.190569,25.561661,91.921848
T0003,2025-09-08 00:19:57.190569,25.607114,91.90897
T0003,2025-09-08 00:24:57.190569,25.596628,91.904334
T0003,2025-09-08 00:29:57.190569,25.530196,91.924519
T0003,2025-09-08 00:34:57.190569,25.558173,91.90213
T0003,2025-09-08 00:39:57.190569,25.585523,91.925668
T0003,2025-09-08 00:44:57.190569,25.588938,91.865955
T0003,2025-09-08 00:49:57.190569,25.538159,91.854912
T0004,2025-09-07 22:24:57.190569,25.549598,91.905813
T0004,2025-09-07 22:29:57.190569,25.597126,91.888269
T0004,2025-09-07 22:34:57.190569,25.56239,91.901859
T0004,2025-09-07 22:39:57.190569,25.55992,91.936982
T0004,2025-09-07 22:44:57.190569,25.539891,91.939237
T0004,2025-09-07 22:49:57.190569,25.603752,91.900629
T0004,2025-09-07 22:54:57.190569,25.585366,91.892411
T0004,2025-09-07 22:59:57.190569,25.609947,91.880637
T0004,2025-09-07 23:04:57.190569,25.619076,91.870743
T0004,2025-09-07 23:09:57.190569,25.543971,91.897273
T0004,2025-09-07 23:14:57.190569,25.594657,91.907898
T0004,2025-09-07 23:19:57.190569,25.614364,91.887056
T0004,2025-09-07 23:24:57.190569,25.562459,91.851098
T0004,2025-09-07 23:29:57.190569,25.558212,91.886426
T0004,2025-09-07 23:34:57.190569,25.531452,91.872499
T0004,2025-09-07 23:39:57.190569,25.594532,91.932064
T0004,2025-09-07 23:44:57.190569,25.628799,91.889164
T0004,2025-09-07 23:49:57.190569,25.575052,91.934854
T0004,2025-09-07 23:54:57.190569,25.582409,91.86143
T0004,2025-09-07 23:59:57.190569,25.611585,91.902588
T0004,2025-09-08 00:04:57.190569,25.587867,91.872474
T0004,2025-09-08 00:09:57.190569,25.569123,91.864812
T0004,2025-09-08 00:14:57.190569,25.601915,91.853452
T0004,2025-09-08 00:19:57.190569,25.569524,91.919056
T0004,2025-09-08 00:24:57.190569,25.572567,91.904344
T0004,2025-09-08 00:29:57.190569,25.543182,91.922478
T0004,2025-09-08 00:34:57.190569,25.591815,91.930536
T0004,2025-09-08 00:39:57.190569,25.574671,91.864755
T0004,2025-09-08 00:44:57.190569,25.551785,91.93455
T0004,2025-09-08 00:49:57.190569,25.56775,91.866389
T0005,2025-09-07 22:24:57.191828,25.560617,91.852094
T0005,2025-09-07 22:29:57.191828,25.593326,91.915332
T0005,2025-09-07 22:34:57.191828,25.557645,91.876165
T0005,2025-09-07 22:39:57.191828,25.601085,91.883675
T0005,2025-09-07 22:44:57.191828,25.54517,91.877339
T0005,2025-09-07 22:49:57.191828,25.542061,91.868526
T0005,2025-09-07 22:54:57.191828,25.529542,91.903048
T0005,2025-09-07 22:59:57.191828,25.625711,91.92528
T0005,2025-09-07 23:04:57.191828,25.625437,91.871342
T0005,2025-09-07 23:09:57.191828,25.612357,91.907037
T0005,2025-09-07 23:14:57.191828,25.581514,91.939821
T0005,2025-09-07 23:19:57.191828,25.539148,91.873243
T0005,2025-09-07 23:24:57.191828,25.603619,91.854554
T0005,2025-09-07 23:29:57.191828,25.555758,91.939206
T0005,2025-09-07 23:34:57.191828,25.529844,91.898642
T0005,2025-09-07 23:39:57.191828,25.609554,91.857594
T0005,2025-09-07 23:44:57.191828,25.565278,91.908426
